--------task_3_2/input02_solution.txt--------
Equations without roots
    equation: [-84.0, 0.0, 39.0, 0.0, -6.0];  roots: []
    equation: [-60.0, 20.0, -4.0];  roots: []
    equation: [-92.0, 0.0, 0.0, 0.0, -68.0];  roots: []
    equation: [-20.0, 0.0, 0.0, 0.0, -54.0];  roots: []
    equation: [-24.0, 0.0, -4.0, 0.0, -33.0];  roots: []
    equation: [48.0, -4.0, 16.0];  roots: []
    equation: [24.0, 12.0, 30.0];  roots: []
    equation: [-12.0, 2.0, -34.0];  roots: []
    equation: [75.0, 0.0, -13.0, 0.0, 9.0];  roots: []
    equation: [0.0, 0.0, 0.0, 0.0, 60.0];  roots: []
    equation: [48.0, 0.0, 0.0, 0.0, 30.0];  roots: []
    equation: [42.0, -40.0, 18.0];  roots: []
    equation: [-48.0, 76.0, -36.0];  roots: []
    equation: [22.0, 0.0, 34.0];  roots: []
    equation: [0.0, 0.0, 72.0];  roots: []
    equation: [-72.0, 100.0, -36.0];  roots: []
    equation: [-24.0, 0.0, -39.0, 0.0, -19.0];  roots: []
    equation: [36.0, 0.0, 8.0, 0.0, 12.0];  roots: []
    equation: [-34.0, 0.0, 33.0, 0.0, -25.0];  roots: []
    equation: [-72.0, 0.0, 12.0, 0.0, -32.0];  roots: []
    equation: [69.0, 0.0, -72.0, 0.0, 68.0];  roots: []
    equation: [0.0, 30.0];  roots: []
    equation: [0.0, 16.0];  roots: []
    equation: [-11.0, -2.0, -30.0];  roots: []
    equation: [0.0, 0.0, 15.0, 0.0, 72.0];  roots: []
    equation: [0.0, 13.0];  roots: []
    equation: [0.0, 0.0, 0.0, 0.0, 5.0];  roots: []
    equation: [-63.0, 0.0, 0.0, 0.0, -38.0];  roots: []
    equation: [-6.0, 0.0, -48.0, 0.0, -63.0];  roots: []
    equation: [4.0, 0.0, 0.0, 0.0, 2.0];  roots: []
    equation: [100.0, -15.0, 21.0];  roots: []
    equation: [0.0, -3.0];  roots: []
    equation: [-28.0, 0.0, -7.0];  roots: []
    equation: [36.0, 88.0, 57.0];  roots: []
    equation: [-51.0, 0.0, 1.0, 0.0, -6.0];  roots: []
    equation: [-16.0, 0.0, 0.0, 0.0, -24.0];  roots: []
    equation: [0.0, 45.0];  roots: []
    equation: [-56.0, 6.0, -6.0];  roots: []
    equation: [48.0, -24.0, 36.0];  roots: []
    equation: [-12.0, 0.0, -66.0];  roots: []
    equation: [21.0, -45.0, 50.0];  roots: []
    equation: [0.0, 0.0, -57.0];  roots: []
    equation: [-26.0, 60.0, -80.0];  roots: []
    equation: [0.0, 0.0, -4.0, 0.0, -16.0];  roots: []
    equation: [84.0, 0.0, -32.0, 0.0, 38.0];  roots: []
    equation: [0.0, -30.0];  roots: []
    equation: [0.0, 0.0, -32.0];  roots: []
    equation: [15.0, 0.0, 50.0, 0.0, 30.0];  roots: []
    equation: [-20.0, 0.0, 12.0, 0.0, -36.0];  roots: []
    equation: [13.0, 20.0, 48.0];  roots: []
    equation: [50.0, 0.0, 54.0];  roots: []
    equation: [-48.0, -18.0, -26.0];  roots: []
    equation: [6.0, 0.0, 6.0, 0.0, 33.0];  roots: []
    equation: [48.0, 0.0, 0.0, 0.0, 18.0];  roots: []
    equation: [0.0, 0.0, 21.0, 0.0, 36.0];  roots: []
    equation: [0.0, 0.0, -18.0, 0.0, -24.0];  roots: []
    equation: [75.0, 0.0, -63.0, 0.0, 63.0];  roots: []
    equation: [5.0, 0.0, -9.0, 0.0, 36.0];  roots: []
    equation: [0.0, 0.0, 66.0];  roots: []
    equation: [22.0, 0.0, 23.0];  roots: []
    equation: [6.0, 0.0, -15.0, 0.0, 18.0];  roots: []
    equation: [18.0, 0.0, -39.0, 0.0, 32.0];  roots: []
    equation: [48.0, 24.0, 17.0];  roots: []
    equation: [9.0, 9.0, 44.0];  roots: []
    equation: [20.0, 38.0, 84.0];  roots: []
    equation: [-19.0, -38.0, -28.0];  roots: []
    equation: [-8.0, 0.0, 4.0, 0.0, -24.0];  roots: []
    equation: [-48.0, -24.0, -34.0];  roots: []
    equation: [4.0, 0.0, 4.0];  roots: []
    equation: [-54.0, -32.0, -20.0];  roots: []
    equation: [50.0, -8.0, 12.0];  roots: []
    equation: [72.0, -44.0, 32.0];  roots: []
    equation: [24.0, -1.0, 8.0];  roots: []
    equation: [0.0, -7.0];  roots: []
    equation: [0.0, -32.0];  roots: []
    equation: [7.0, 0.0, 18.0, 0.0, 96.0];  roots: []
    equation: [80.0, 0.0, 24.0, 0.0, 8.0];  roots: []
    equation: [0.0, 24.0];  roots: []
    equation: [-76.0, 0.0, -3.0];  roots: []
    equation: [-22.0, -84.0, -88.0];  roots: []
    equation: [69.0, 0.0, 10.0];  roots: []
    equation: [24.0, 10.0, 8.0];  roots: []
    equation: [0.0, 0.0, 20.0, 0.0, 8.0];  roots: []
    equation: [66.0, 0.0, 0.0, 0.0, 45.0];  roots: []
    equation: [-16.0, 0.0, 24.0, 0.0, -60.0];  roots: []
    equation: [0.0, -66.0];  roots: []
    equation: [18.0, 0.0, 0.0, 0.0, 39.0];  roots: []
    equation: [0.0, 0.0, 0.0, 0.0, -48.0];  roots: []
    equation: [24.0, -21.0, 48.0];  roots: []
    equation: [48.0, 40.0, 36.0];  roots: []
    equation: [0.0, 0.0, -8.0];  roots: []
    equation: [32.0, 0.0, -15.0, 0.0, 24.0];  roots: []
    equation: [0.0, 0.0, -51.0, 0.0, -30.0];  roots: []
    equation: [9.0, -32.0, 36.0];  roots: []
    equation: [0.0, 0.0, 10.0, 0.0, 96.0];  roots: []
    equation: [-50.0, 0.0, 28.0, 0.0, -6.0];  roots: []
    equation: [88.0, -40.0, 50.0];  roots: []
    equation: [0.0, 0.0, -40.0];  roots: []
    equation: [0.0, 63.0];  roots: []
    equation: [-27.0, 0.0, -20.0, 0.0, -30.0];  roots: []
    equation: [39.0, 0.0, 19.0, 0.0, 72.0];  roots: []
    equation: [0.0, 0.0, 16.0, 0.0, 88.0];  roots: []
    equation: [-26.0, 0.0, 0.0, 0.0, -6.0];  roots: []
    equation: [0.0, 0.0, 0.0, 0.0, -42.0];  roots: []
    equation: [12.0, 0.0, 38.0, 0.0, 19.0];  roots: []
    equation: [0.0, 0.0, -4.0, 0.0, -4.0];  roots: []
    equation: [0.0, -63.0];  roots: []
    equation: [0.0, 60.0];  roots: []
    equation: [0.0, -16.0];  roots: []
    equation: [0.0, -4.0];  roots: []
    equation: [0.0, -88.0];  roots: []
    equation: [0.0, 57.0];  roots: []
    equation: [12.0, 18.0, 52.0];  roots: []
    equation: [0.0, 0.0, -2.0];  roots: []
    equation: [0.0, 36.0];  roots: []
    equation: [0.0, 9.0];  roots: []
    equation: [0.0, 8.0];  roots: []
    equation: [0.0, 0.0, 69.0];  roots: []
    equation: [15.0, 0.0, 28.0];  roots: []
    equation: [0.0, -18.0];  roots: []
    equation: [0.0, 0.0, 24.0, 0.0, 24.0];  roots: []
    equation: [-16.0, 0.0, -15.0, 0.0, -32.0];  roots: []
    equation: [18.0, 0.0, -12.0, 0.0, 60.0];  roots: []
    equation: [-9.0, 0.0, 5.0, 0.0, -18.0];  roots: []
    equation: [0.0, 0.0, -92.0, 0.0, -76.0];  roots: []
    equation: [-96.0, 0.0, 36.0, 0.0, -75.0];  roots: []
    equation: [0.0, -84.0];  roots: []
    equation: [-9.0, 0.0, -24.0, 0.0, -27.0];  roots: []
    equation: [-13.0, 0.0, -32.0];  roots: []
    equation: [16.0, 14.0, 66.0];  roots: []
    equation: [60.0, -52.0, 40.0];  roots: []
    equation: [0.0, 0.0, -32.0];  roots: []
    equation: [-64.0, 52.0, -76.0];  roots: []
    equation: [0.0, -57.0];  roots: []
    equation: [-21.0, 0.0, 6.0, 0.0, -5.0];  roots: []
    equation: [-32.0, 0.0, 0.0, 0.0, -80.0];  roots: []
    equation: [0.0, 0.0, 8.0, 0.0, 14.0];  roots: []
    equation: [-22.0, 0.0, 0.0, 0.0, -14.0];  roots: []
    equation: [75.0, 0.0, 8.0, 0.0, 19.0];  roots: []
    equation: [12.0, 0.0, 92.0, 0.0, 64.0];  roots: []
    equation: [12.0, 0.0, -25.0, 0.0, 84.0];  roots: []
    equation: [-84.0, 0.0, -33.0];  roots: []
    equation: [26.0, 0.0, 57.0];  roots: []
    equation: [40.0, 72.0, 60.0];  roots: []
    equation: [18.0, 20.0, 84.0];  roots: []
    equation: [-24.0, 22.0, -24.0];  roots: []
    equation: [-72.0, 0.0, -4.0, 0.0, -75.0];  roots: []
    equation: [-32.0, 0.0, -16.0, 0.0, -15.0];  roots: []
    equation: [16.0, 0.0, 0.0, 0.0, 40.0];  roots: []
    equation: [-60.0, 0.0, 24.0, 0.0, -46.0];  roots: []
    equation: [0.0, 0.0, -32.0, 0.0, -57.0];  roots: []
    equation: [-19.0, 0.0, -12.0, 0.0, -18.0];  roots: []
    equation: [17.0, -30.0, 57.0];  roots: []
    equation: [20.0, 18.0, 60.0];  roots: []
    equation: [0.0, 0.0, 0.0, 0.0, -80.0];  roots: []
    equation: [-69.0, -30.0, -16.0];  roots: []
    equation: [0.0, 52.0];  roots: []
    equation: [0.0, 0.0, 0.0, 0.0, 28.0];  roots: []
    equation: [23.0, 0.0, 30.0, 0.0, 21.0];  roots: []
    equation: [36.0, 0.0, -57.0, 0.0, 63.0];  roots: []
    equation: [0.0, 0.0, -11.0, 0.0, -30.0];  roots: []
    equation: [-23.0, 0.0, -12.0, 0.0, -13.0];  roots: []
    equation: [-48.0, 0.0, -36.0, 0.0, -46.0];  roots: []
    equation: [100.0, -14.0, 16.0];  roots: []
    equation: [30.0, 50.0, 51.0];  roots: []
    equation: [0.0, -40.0];  roots: []
    equation: [0.0, 10.0];  roots: []
    equation: [0.0, 0.0, -16.0, 0.0, -100.0];  roots: []
    equation: [44.0, 0.0, -4.0, 0.0, 56.0];  roots: []
    equation: [-27.0, 0.0, 66.0, 0.0, -52.0];  roots: []
    equation: [0.0, -6.0];  roots: []
    equation: [6.0, 0.0, 0.0, 0.0, 30.0];  roots: []
    equation: [-40.0, 0.0, 28.0, 0.0, -15.0];  roots: []
    equation: [20.0, 0.0, 72.0, 0.0, 51.0];  roots: []
    equation: [0.0, 0.0, -8.0, 0.0, -16.0];  roots: []
    equation: [-20.0, 12.0, -38.0];  roots: []
    equation: [18.0, -26.0, 11.0];  roots: []
    equation: [0.0, 8.0];  roots: []
    equation: [0.0, -40.0];  roots: []
    equation: [13.0, 0.0, -22.0, 0.0, 23.0];  roots: []
    equation: [1.0, 0.0, 0.0, 0.0, 21.0];  roots: []
    equation: [-92.0, -92.0, -63.0];  roots: []
    equation: [44.0, 0.0, 44.0];  roots: []
    equation: [36.0, 0.0, -33.0, 0.0, 40.0];  roots: []
    equation: [-60.0, -21.0, -36.0];  roots: []
    equation: [-6.0, -17.0, -30.0];  roots: []
    equation: [42.0, 0.0, 14.0, 0.0, 38.0];  roots: []
    equation: [0.0, 8.0];  roots: []
    equation: [17.0, 0.0, -33.0, 0.0, 23.0];  roots: []
    equation: [-76.0, 92.0, -32.0];  roots: []
    equation: [-30.0, 0.0, 14.0, 0.0, -22.0];  roots: []
    equation: [0.0, -34.0];  roots: []
    equation: [-84.0, 0.0, 0.0, 0.0, -32.0];  roots: []
    equation: [-33.0, 0.0, -80.0, 0.0, -4.0];  roots: []
    equation: [26.0, 0.0, 92.0, 0.0, 13.0];  roots: []
    equation: [15.0, 0.0, 0.0, 0.0, 44.0];  roots: []
    equation: [0.0, 0.0, 0.0, 0.0, 51.0];  roots: []
    equation: [42.0, -39.0, 56.0];  roots: []
    equation: [9.0, 0.0, 12.0];  roots: []
    equation: [-40.0, 0.0, -8.0];  roots: []
    equation: [46.0, 51.0, 15.0];  roots: []
    equation: [-6.0, 0.0, 0.0, 0.0, -20.0];  roots: []
    equation: [18.0, 0.0, 36.0];  roots: []
    equation: [0.0, 0.0, 0.0, 0.0, 23.0];  roots: []
    equation: [76.0, 0.0, 42.0, 0.0, 36.0];  roots: []
    equation: [6.0, 0.0, 22.0, 0.0, 75.0];  roots: []
    equation: [-69.0, 0.0, -8.0, 0.0, -60.0];  roots: []
    equation: [60.0, 0.0, 0.0, 0.0, 69.0];  roots: []
    equation: [24.0, 0.0, 21.0, 0.0, 12.0];  roots: []
    equation: [-30.0, 0.0, -24.0, 0.0, -15.0];  roots: []
    equation: [-56.0, 0.0, -19.0, 0.0, -42.0];  roots: []
    equation: [36.0, 0.0, 96.0];  roots: []
    equation: [6.0, 0.0, 92.0];  roots: []
    equation: [0.0, 0.0, 76.0, 0.0, 40.0];  roots: []
    equation: [36.0, 0.0, 52.0];  roots: []
    equation: [11.0, 0.0, -10.0, 0.0, 40.0];  roots: []
    equation: [0.0, 45.0];  roots: []
    equation: [-54.0, 39.0, -42.0];  roots: []
    equation: [0.0, 0.0, 4.0];  roots: []
    equation: [19.0, -63.0, 100.0];  roots: []
    equation: [84.0, 0.0, 24.0, 0.0, 12.0];  roots: []
    equation: [-69.0, 0.0, -32.0, 0.0, -92.0];  roots: []
    equation: [66.0, -9.0, 6.0];  roots: []
    equation: [-88.0, 0.0, 10.0, 0.0, -36.0];  roots: []
    equation: [0.0, -12.0];  roots: []
    equation: [0.0, 12.0];  roots: []
    equation: [0.0, 0.0, -64.0];  roots: []
    equation: [64.0, 13.0, 21.0];  roots: []
    equation: [28.0, -42.0, 30.0];  roots: []
    equation: [16.0, 0.0, 50.0, 0.0, 11.0];  roots: []
    equation: [-1.0, 0.0, -36.0, 0.0, -28.0];  roots: []
    equation: [-48.0, -48.0, -22.0];  roots: []
    equation: [-51.0, 57.0, -19.0];  roots: []
    equation: [63.0, 0.0, 18.0, 0.0, 75.0];  roots: []
    equation: [-48.0, 0.0, -24.0, 0.0, -4.0];  roots: []
    equation: [0.0, 0.0, 0.0, 0.0, -48.0];  roots: []
    equation: [5.0, -27.0, 76.0];  roots: []
    equation: [0.0, 0.0, 0.0, 0.0, -1.0];  roots: []
    equation: [0.0, 0.0, 27.0, 0.0, 40.0];  roots: []
    equation: [-26.0, 0.0, 4.0, 0.0, -18.0];  roots: []
    equation: [10.0, 0.0, 0.0, 0.0, 12.0];  roots: []
    equation: [48.0, 64.0, 60.0];  roots: []
    equation: [-25.0, -18.0, -16.0];  roots: []
    equation: [-19.0, 0.0, 0.0, 0.0, -7.0];  roots: []
    equation: [-3.0, -16.0, -72.0];  roots: []
    equation: [36.0, 0.0, 46.0];  roots: []
    equation: [-24.0, -15.0, -100.0];  roots: []
    equation: [21.0, 0.0, 14.0];  roots: []
    equation: [42.0, -24.0, 17.0];  roots: []
    equation: [0.0, 0.0, -75.0];  roots: []
    equation: [0.0, 18.0];  roots: []
    equation: [-27.0, 0.0, -36.0, 0.0, -46.0];  roots: []
    equation: [-42.0, 40.0, -36.0];  roots: []
    equation: [16.0, -16.0, 14.0];  roots: []
    equation: [-14.0, -4.0, -25.0];  roots: []
    equation: [16.0, -28.0, 51.0];  roots: []
    equation: [0.0, 0.0, -11.0, 0.0, -8.0];  roots: []
    equation: [-88.0, 0.0, 48.0, 0.0, -21.0];  roots: []
    equation: [72.0, -28.0, 42.0];  roots: []
    equation: [-9.0, 0.0, -48.0];  roots: []
    equation: [-42.0, 0.0, -36.0, 0.0, -6.0];  roots: []
    equation: [-12.0, 0.0, 0.0, 0.0, -66.0];  roots: []
    equation: [0.0, 14.0];  roots: []
    equation: [0.0, 18.0];  roots: []
    equation: [-28.0, -40.0, -42.0];  roots: []
    equation: [-16.0, 24.0, -72.0];  roots: []
    equation: [0.0, -10.0];  roots: []
    equation: [-45.0, 0.0, 12.0, 0.0, -13.0];  roots: []
    equation: [-23.0, 0.0, 8.0, 0.0, -56.0];  roots: []
    equation: [-57.0, 0.0, -48.0, 0.0, -18.0];  roots: []
    equation: [-15.0, 14.0, -34.0];  roots: []
    equation: [69.0, -42.0, 36.0];  roots: []
    equation: [-84.0, -33.0, -8.0];  roots: []
    equation: [40.0, -20.0, 63.0];  roots: []
    equation: [38.0, 0.0, -36.0, 0.0, 20.0];  roots: []
    equation: [-44.0, 0.0, -42.0, 0.0, -32.0];  roots: []
    equation: [0.0, 26.0];  roots: []
    equation: [-19.0, 0.0, -32.0];  roots: []
    equation: [-19.0, -24.0, -20.0];  roots: []
    equation: [0.0, 0.0, 0.0, 0.0, 69.0];  roots: []
    equation: [3.0, -16.0, 60.0];  roots: []
    equation: [60.0, -40.0, 57.0];  roots: []
    equation: [21.0, 8.0, 12.0];  roots: []
    equation: [0.0, 0.0, 0.0, 0.0, 19.0];  roots: []
    equation: [0.0, -10.0];  roots: []
    equation: [-42.0, 0.0, -44.0, 0.0, -7.0];  roots: []
    equation: [-24.0, -18.0, -75.0];  roots: []
    equation: [0.0, -16.0];  roots: []
    equation: [-32.0, 0.0, -8.0, 0.0, -36.0];  roots: []
    equation: [0.0, 0.0, -40.0, 0.0, -36.0];  roots: []
    equation: [0.0, -18.0];  roots: []
    equation: [-51.0, 54.0, -72.0];  roots: []
    equation: [0.0, 0.0, -66.0, 0.0, -51.0];  roots: []
    equation: [0.0, 10.0];  roots: []
    equation: [24.0, 0.0, 56.0, 0.0, 20.0];  roots: []
    equation: [17.0, 0.0, 96.0, 0.0, 13.0];  roots: []
    equation: [-2.0, 12.0, -75.0];  roots: []
    equation: [0.0, 0.0, 3.0, 0.0, 6.0];  roots: []
    equation: [-20.0, 0.0, -4.0, 0.0, -12.0];  roots: []
    equation: [0.0, 6.0];  roots: []
    equation: [0.0, -38.0];  roots: []
    equation: [13.0, 0.0, -24.0, 0.0, 24.0];  roots: []
    equation: [0.0, 0.0, -100.0];  roots: []
    equation: [-26.0, 27.0, -14.0];  roots: []
    equation: [0.0, -64.0];  roots: []
    equation: [9.0, 0.0, 0.0, 0.0, 36.0];  roots: []
    equation: [16.0, 0.0, 16.0];  roots: []
    equation: [30.0, 0.0, 8.0];  roots: []
    equation: [0.0, -48.0];  roots: []
    equation: [0.0, 0.0, -33.0, 0.0, -48.0];  roots: []
    equation: [-72.0, 0.0, 18.0, 0.0, -32.0];  roots: []
    equation: [0.0, 0.0, -23.0, 0.0, -21.0];  roots: []
    equation: [0.0, 0.0, -12.0];  roots: []
    equation: [36.0, 0.0, -20.0, 0.0, 6.0];  roots: []
    equation: [0.0, 0.0, 0.0, 0.0, 69.0];  roots: []
    equation: [0.0, 3.0];  roots: []
Equations with one root
    equation: [9.0, 4.0];  roots: [-0.4444444444444444]
    equation: [52.0, -69.0];  roots: [1.3269230769230769]
    equation: [-24.0, 0.0, 0.0, 0.0, 0.0];  roots: [0.0]
    equation: [0.0, 12.0, 18.0];  roots: [-1.5]
    equation: [-16.0, 0.0, 0.0];  roots: [0.0]
    equation: [0.0, -88.0, 0.0];  roots: [0.0]
    equation: [46.0, 0.0];  roots: [-0.0]
    equation: [0.0, -57.0, 24.0];  roots: [0.42105263157894735]
    equation: [-28.0, 12.0];  roots: [0.42857142857142855]
    equation: [-16.0, 1.0];  roots: [0.0625]
    equation: [0.0, 18.0, 0.0];  roots: [-0.0]
    equation: [0.0, -63.0, 30.0];  roots: [0.47619047619047616]
    equation: [-9.0, 0.0, 0.0];  roots: [0.0]
    equation: [-40.0, 23.0];  roots: [0.575]
    equation: [0.0, 8.0, 17.0];  roots: [-2.125]
    equation: [0.0, 0.0, 18.0, 0.0, 0.0];  roots: [-0.0]
    equation: [-27.0, 0.0, 0.0, 0.0, 0.0];  roots: [0.0]
    equation: [0.0, 3.0, 0.0];  roots: [-0.0]
    equation: [50.0, -6.0];  roots: [0.12]
    equation: [24.0, 36.0];  roots: [-1.5]
    equation: [6.0, 48.0];  roots: [-8.0]
    equation: [28.0, -60.0];  roots: [2.142857142857143]
    equation: [-20.0, -36.0];  roots: [-1.8]
    equation: [22.0, 17.0];  roots: [-0.7727272727272727]
    equation: [0.0, 0.0, -10.0, 0.0, 0.0];  roots: [0.0]
    equation: [-64.0, 0.0, 0.0, 0.0, 0.0];  roots: [0.0]
    equation: [10.0, 0.0];  roots: [-0.0]
    equation: [-27.0, -17.0];  roots: [-0.6296296296296297]
    equation: [16.0, 0.0, 40.0, 0.0, 0.0];  roots: [0.0]
    equation: [0.0, -30.0, -50.0];  roots: [-1.6666666666666667]
    equation: [0.0, 26.0, -1.0];  roots: [0.038461538461538464]
    equation: [0.0, 14.0, -48.0];  roots: [3.4285714285714284]
    equation: [12.0, -30.0];  roots: [2.5]
    equation: [63.0, -9.0];  roots: [0.14285714285714285]
    equation: [26.0, 0.0];  roots: [-0.0]
    equation: [-11.0, -92.0];  roots: [-8.363636363636363]
    equation: [-9.0, -20.0];  roots: [-2.2222222222222223]
    equation: [-46.0, -50.0];  roots: [-1.0869565217391304]
    equation: [-75.0, -44.0];  roots: [-0.5866666666666667]
    equation: [-21.0, 22.0];  roots: [1.0476190476190477]
    equation: [-21.0, 0.0];  roots: [0.0]
    equation: [100.0, -34.0];  roots: [0.34]
    equation: [88.0, -36.0];  roots: [0.4090909090909091]
    equation: [28.0, 21.0];  roots: [-0.75]
    equation: [50.0, 0.0];  roots: [-0.0]
    equation: [54.0, 0.0];  roots: [-0.0]
    equation: [17.0, -20.0];  roots: [1.1764705882352942]
    equation: [-14.0, 0.0, 0.0];  roots: [0.0]
    equation: [0.0, 20.0, 8.0];  roots: [-0.4]
    equation: [-64.0, -23.0];  roots: [-0.359375]
    equation: [4.0, 0.0, 18.0, 0.0, 0.0];  roots: [0.0]
    equation: [-26.0, 0.0, -51.0, 0.0, 0.0];  roots: [-0.0]
    equation: [-42.0, 27.0];  roots: [0.6428571428571429]
    equation: [6.0, -40.0];  roots: [6.666666666666667]
    equation: [15.0, -24.0];  roots: [1.6]
    equation: [0.0, 0.0, 84.0, 0.0, 0.0];  roots: [-0.0]
    equation: [-6.0, 0.0, 0.0, 0.0, 0.0];  roots: [0.0]
    equation: [-1.0, -60.0];  roots: [-60.0]
    equation: [56.0, 0.0];  roots: [-0.0]
    equation: [30.0, 30.0];  roots: [-1.0]
    equation: [-20.0, -24.0];  roots: [-1.2]
    equation: [-48.0, -63.0];  roots: [-1.3125]
    equation: [46.0, 57.0];  roots: [-1.2391304347826086]
    equation: [69.0, 64.0];  roots: [-0.927536231884058]
    equation: [16.0, 10.0];  roots: [-0.625]
    equation: [52.0, -11.0];  roots: [0.21153846153846154]
    equation: [0.0, 22.0, 9.0];  roots: [-0.4090909090909091]
    equation: [-6.0, -48.0];  roots: [-8.0]
    equation: [42.0, -3.0];  roots: [0.07142857142857142]
    equation: [-100.0, 0.0];  roots: [0.0]
    equation: [-8.0, -96.0];  roots: [-12.0]
    equation: [66.0, 0.0, 0.0];  roots: [-0.0]
    equation: [0.0, -68.0, -20.0];  roots: [-0.29411764705882354]
    equation: [2.0, 4.0];  roots: [-2.0]
    equation: [-20.0, 0.0];  roots: [0.0]
    equation: [-6.0, 20.0];  roots: [3.3333333333333335]
    equation: [-12.0, 0.0];  roots: [0.0]
    equation: [36.0, 0.0, 0.0];  roots: [-0.0]
    equation: [-5.0, 0.0, -28.0, 0.0, 0.0];  roots: [-0.0]
    equation: [-32.0, 0.0, 0.0, 0.0, 0.0];  roots: [0.0]
    equation: [0.0, -1.0, 0.0];  roots: [0.0]
    equation: [68.0, 42.0];  roots: [-0.6176470588235294]
    equation: [11.0, -68.0];  roots: [6.181818181818182]
    equation: [-75.0, 0.0];  roots: [0.0]
    equation: [15.0, 0.0, 0.0, 0.0, 0.0];  roots: [-0.0]
    equation: [0.0, 60.0, 0.0];  roots: [-0.0]
    equation: [0.0, -21.0, -72.0];  roots: [-3.4285714285714284]
    equation: [60.0, -4.0];  roots: [0.06666666666666667]
    equation: [0.0, 0.0, 48.0, 0.0, 0.0];  roots: [-0.0]
    equation: [64.0, 48.0];  roots: [-0.75]
    equation: [48.0, -42.0];  roots: [0.875]
    equation: [28.0, -24.0];  roots: [0.8571428571428571]
    equation: [-66.0, 20.0];  roots: [0.30303030303030304]
    equation: [75.0, 0.0, 16.0, 0.0, 0.0];  roots: [0.0]
    equation: [0.0, 24.0, 0.0];  roots: [-0.0]
    equation: [5.0, -9.0];  roots: [1.8]
    equation: [-75.0, -20.0];  roots: [-0.26666666666666666]
    equation: [14.0, 0.0, 0.0, 0.0, 0.0];  roots: [-0.0]
    equation: [92.0, 17.0];  roots: [-0.18478260869565216]
    equation: [-13.0, -9.0];  roots: [-0.6923076923076923]
    equation: [-66.0, -32.0];  roots: [-0.48484848484848486]
    equation: [56.0, -20.0];  roots: [0.35714285714285715]
    equation: [-8.0, -24.0];  roots: [-3.0]
    equation: [18.0, 96.0];  roots: [-5.333333333333333]
